Ligand,Binding Affinity,rmsd/ub, rmsd/lb
1vrt_60877_uff_E=192.79,-5.1,0.0,0.0
1vrt_60877_uff_E=192.79,-5.0,33.851,32.709
1vrt_60877_uff_E=192.79,-4.7,42.433,40.896
1vrt_60877_uff_E=192.79,-4.6,27.945,26.387
1vrt_60877_uff_E=192.79,-4.6,13.169,11.851
1vrt_60877_uff_E=192.79,-4.5,27.143,25.827
1vrt_60877_uff_E=192.79,-4.4,28.803,27.294
1vrt_60877_uff_E=192.79,-4.2,41.68,40.395
1vrt_60877_uff_E=192.79,-4.2,40.73,38.929
1vrt_60825_uff_E=198.09,-5.9,0.0,0.0
1vrt_60825_uff_E=198.09,-5.9,3.781,2.905
1vrt_60825_uff_E=198.09,-5.7,16.693,15.551
1vrt_60825_uff_E=198.09,-5.6,41.095,39.68
1vrt_60825_uff_E=198.09,-5.3,18.837,17.807
1vrt_60825_uff_E=198.09,-5.3,6.126,4.615
1vrt_60825_uff_E=198.09,-5.3,46.226,45.45
1vrt_60825_uff_E=198.09,-5.2,19.527,18.504
1vrt_60825_uff_E=198.09,-5.0,32.49,31.186
1vrt_35370_uff_E=310.26,-5.7,0.0,0.0
1vrt_35370_uff_E=310.26,-5.5,25.331,23.019
1vrt_35370_uff_E=310.26,-5.5,3.126,1.831
1vrt_35370_uff_E=310.26,-5.4,4.92,3.547
1vrt_35370_uff_E=310.26,-5.4,26.693,24.404
1vrt_35370_uff_E=310.26,-5.3,53.119,51.256
1vrt_35370_uff_E=310.26,-5.3,7.16,3.979
1vrt_35370_uff_E=310.26,-5.2,35.767,34.229
1vrt_35370_uff_E=310.26,-5.2,4.297,2.502
